username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FrancoisFillon;2017-01-06 08:50;310;298;"Je veux que la France devienne une "Smart Nation" ! #CES2017 pic.twitter.com/nkigV16j8A";;;#CES2017;"817277258784194562";https://twitter.com/FrancoisFillon/status/817277258784194562
FrancoisFillon;2017-01-06 08:47;214;232;"La transformation digitale doit se diffuser partout, devenir l’un des moteurs de notre économie. #CES2017";;;#CES2017;"817276403767005184";https://twitter.com/FrancoisFillon/status/817276403767005184
FrancoisFillon;2017-01-06 08:22;190;173;"Le numérique, c'est pour nous un enjeu de souveraineté, française et européenne. #CES2017";;;#CES2017;"817270205642665984";https://twitter.com/FrancoisFillon/status/817270205642665984
FrancoisFillon;2017-01-06 08:21;258;278;"Nos entreprises ne doivent pas être contraintes d'aller chercher ailleurs les financements qu'elles ne trouvent pas chez nous. #CES2017";;;#CES2017;"817269721997385730";https://twitter.com/FrancoisFillon/status/817269721997385730
FrancoisFillon;2017-01-06 08:18;155;186;"On parle beaucoup de patriotisme économique, mais moi je veux nous en donner vraiment les moyens ! #CES2017";;;#CES2017;"817268981669183488";https://twitter.com/FrancoisFillon/status/817268981669183488
FrancoisFillon;2017-01-06 08:14;273;274;"La liberté d'entreprendre et l’envie d'entreprendre doivent redevenir le moteur du développement français. #CES2017";;;#CES2017;"817268054837039105";https://twitter.com/FrancoisFillon/status/817268054837039105
FrancoisFillon;2017-01-06 08:10;146;164;"#CES2017 Vous êtes l’avant-garde de la France dans la révolution numérique mondiale et la preuve que notre pays a des atouts immenses.";;;#CES2017;"817267185387237377";https://twitter.com/FrancoisFillon/status/817267185387237377
FrancoisFillon;2017-01-06 08:08;160;148;"Je suis heureux de voir que les Français occupent aujourd’hui une place bien plus qu’honorable. #CES2017 pic.twitter.com/bjpoJVWsDD";;;#CES2017;"817266578542604290";https://twitter.com/FrancoisFillon/status/817266578542604290
FrancoisFillon;2017-01-05 12:54;430;458;"Le chômage est la première cause de pauvreté, c'est pourquoi mon programme économique est radical. Retour sur ma visite à @Emmaus_France . pic.twitter.com/lDz2cmrzaM";;@Emmaus_France;;"816976148425035777";https://twitter.com/FrancoisFillon/status/816976148425035777
FrancoisFillon;2017-01-03 22:39;597;678;"Je veux être le candidat de la vérité, d’une France forte, d’une France qui protège. #LE20H pic.twitter.com/N5IkVSR9kD";;;#LE20H;"816398513919565824";https://twitter.com/FrancoisFillon/status/816398513919565824
