username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
EmmanuelMacron;2017-02-02 14:41;181;309;"Très heureux de revenir au @SDEntrepreneurs pour voir le succès et la vitalité de l'entrepreneuriat français. #SDE2017 pic.twitter.com/PdbyDrwhhQ";;@SDEntrepreneurs;#SDE2017;"827150032050745344";https://twitter.com/EmmanuelMacron/status/827150032050745344
EmmanuelMacron;2017-02-02 13:00;201;249;"L'entrepreneuriat est un vecteur d’émancipation, de transformation de la société. #SDE2017";;;#SDE2017;"827124582016548865";https://twitter.com/EmmanuelMacron/status/827124582016548865
EmmanuelMacron;2017-02-02 12:40;149;204;"Nos entrepreneurs sont des agents d’espérance du quotidien. #SDE2017";;;#SDE2017;"827119619525791744";https://twitter.com/EmmanuelMacron/status/827119619525791744
EmmanuelMacron;2017-02-02 12:18;302;414;"L’entrepreneuriat français, ce sont des femmes et des hommes qui veulent prendre des risques, être libres et changer les choses. #SDE2017";;;#SDE2017;"827113929751007233";https://twitter.com/EmmanuelMacron/status/827113929751007233
EmmanuelMacron;2017-02-02 11:44;292;509;"Je veux être le candidat du travail et donc le candidat des entrepreneurs. #SDE2017";;;#SDE2017;"827105383433003008";https://twitter.com/EmmanuelMacron/status/827105383433003008
EmmanuelMacron;2017-02-01 20:38;602;742;"Je veux construire une majorité progressiste qui sera constituée au moins pour moitié de femmes et d’hommes de la société civile. #LE20H pic.twitter.com/AY8nTDsUpc";;;#LE20H;"826877433093685248";https://twitter.com/EmmanuelMacron/status/826877433093685248
EmmanuelMacron;2017-02-01 20:37;437;493;"J’accueille toutes les Françaises et tous les Français qui se retrouvent dans notre projet. #LE20H Adhérez : http:// bit.ly/j-adhere pic.twitter.com/J3r6O8VWr8";;;#LE20H;"826877081560707072";https://twitter.com/EmmanuelMacron/status/826877081560707072
EmmanuelMacron;2017-02-01 20:32;455;514;"Je porte un projet, celui des progressistes. #LE20H pic.twitter.com/RzqEXpOcES";;;#LE20H;"826875842173235201";https://twitter.com/EmmanuelMacron/status/826875842173235201
EmmanuelMacron;2017-02-01 20:31;488;489;"Je veux que la protection contre le chômage soit étendue à tous, sans distinction de statuts. #LE20H pic.twitter.com/rz6Ta7YxnN";;;#LE20H;"826875727253471232";https://twitter.com/EmmanuelMacron/status/826875727253471232
EmmanuelMacron;2017-02-01 20:29;534;600;"Je suis pour une société qui aide ceux qui prennent des risques. Je veux qu’on gagne mieux avec son travail. #LE20H pic.twitter.com/4NrB2YK7db";;;#LE20H;"826875181440315393";https://twitter.com/EmmanuelMacron/status/826875181440315393
EmmanuelMacron;2017-02-01 20:17;1380;1949;"J’ai démissionné de la fonction publique. Je suis aujourd’hui le seul candidat qui n’est pas payé par le contribuable. #LE20H";;;#LE20H;"826872220391706626";https://twitter.com/EmmanuelMacron/status/826872220391706626
EmmanuelMacron;2017-02-01 19:07;235;467;"Retrouvez-moi sur TF1 à 20h. http:// tf1.fr/tf1/direct #LE20H pic.twitter.com/QH5pvLoauc";;;#LE20H;"826854571876163584";https://twitter.com/EmmanuelMacron/status/826854571876163584
EmmanuelMacron;2017-02-01 12:26;401;575;"Il faut respecter les histoires et les identités de chacun, sans les travestir. #le79inter pic.twitter.com/7oQ8h70g59";;;#le79inter;"826753551854612481";https://twitter.com/EmmanuelMacron/status/826753551854612481
EmmanuelMacron;2017-02-01 09:17;95;152;"J'ai lancé vendredi dernier un appel. #le79inter http:// facebook.com/EmmanuelMacron /videos/1906579276241316/ … pic.twitter.com/JagTGHAdQl";;;#le79inter;"826706091505483776";https://twitter.com/EmmanuelMacron/status/826706091505483776
EmmanuelMacron;2017-02-01 09:05;353;401;"J’annoncerai aujourd'hui les 9 membres de la commission qui investira nos candidats aux législatives. Je n’en ferai pas partie. #le79inter pic.twitter.com/5i6NsGaLZY";;;#le79inter;"826703067060006912";https://twitter.com/EmmanuelMacron/status/826703067060006912
EmmanuelMacron;2017-02-01 08:54;238;305;"La fermeture de Fessenheim doit être menée à son terme avec des compensations pour recréer de l’activité économique localement. #le79inter";;;#le79inter;"826700229416206336";https://twitter.com/EmmanuelMacron/status/826700229416206336
EmmanuelMacron;2017-02-01 08:43;447;649;"Un réfugié politique, ce n'est pas quelqu'un qui choisit de quitter son pays par confort. #le79inter";;;#le79inter;"826697445526609920";https://twitter.com/EmmanuelMacron/status/826697445526609920
EmmanuelMacron;2017-02-01 08:42;200;238;"Trump propose un repli qui ne correspond pas aux valeurs des USA. Il faut réancrer les USA dans un dialogue transatlantique. #le79inter pic.twitter.com/BvAajX1V1O";;;#le79inter;"826697112301817856";https://twitter.com/EmmanuelMacron/status/826697112301817856
EmmanuelMacron;2017-02-01 08:04;514;633;"Je gouvernerai avec des responsables politiques de gauche, de droite, avec de nouveaux responsables venant de la société civile. #le79inter pic.twitter.com/GI8QVTdhns";;;#le79inter;"826687629739618304";https://twitter.com/EmmanuelMacron/status/826687629739618304
EmmanuelMacron;2017-02-01 08:01;311;468;"On a passé ce matin les 170 000 adhérents. #le79inter @enmarchefr Adhérez : http:// bit.ly/j-adhere pic.twitter.com/PORqShh5wb";;@enmarchefr;#le79inter;"826686892188004352";https://twitter.com/EmmanuelMacron/status/826686892188004352
EmmanuelMacron;2017-02-01 07:55;417;455;"Pour être progressiste, il faut proposer un modèle dans lequel on produit avant de redistribuer. #le79inter pic.twitter.com/ulUv1J0ieH";;;#le79inter;"826685386260897792";https://twitter.com/EmmanuelMacron/status/826685386260897792
EmmanuelMacron;2017-02-01 07:53;391;468;"Je ne nie pas l’histoire du clivage droite-gauche mais on a besoin de le dépasser. #le79inter pic.twitter.com/fqQHKKPFdA";;;#le79inter;"826685007863365632";https://twitter.com/EmmanuelMacron/status/826685007863365632
EmmanuelMacron;2017-02-01 07:48;332;401;"Je transformerai l'ISF en impôt sur la rente immobilière. J'exonèrerai tout ce qui finance l'économie réelle. #le79inter";;;#le79inter;"826683619364179968";https://twitter.com/EmmanuelMacron/status/826683619364179968
EmmanuelMacron;2017-02-01 07:46;247;237;"On a besoin de relancer une politique d’investissement. #le79inter pic.twitter.com/2dCs5hXMod";;;#le79inter;"826683092333109248";https://twitter.com/EmmanuelMacron/status/826683092333109248
EmmanuelMacron;2017-02-01 07:43;234;232;"On doit financer différemment notre modèle social. #le79inter pic.twitter.com/0oXMckvPhn";;;#le79inter;"826682308828733440";https://twitter.com/EmmanuelMacron/status/826682308828733440
EmmanuelMacron;2017-02-01 07:35;247;234;"Je transformerai le CICE en allègement de charges durable. #le79inter pic.twitter.com/l77aQWdFU1";;;#le79inter;"826680427423346688";https://twitter.com/EmmanuelMacron/status/826680427423346688
EmmanuelMacron;2017-02-01 07:33;203;189;"Une entreprise qui a un taux de marge bas ne va pas pouvoir investir, préparer l’avenir et créer de nouveaux emplois. #le79inter pic.twitter.com/5Zz0SLxlIs";;;#le79inter;"826679903940648960";https://twitter.com/EmmanuelMacron/status/826679903940648960
EmmanuelMacron;2017-01-31 19:17;257;308;"Posez-moi vos questions sur @franceinter demain de 7h à 9h. #interactiv #le79inter https:// twitter.com/franceinter/st atus/826474003267153921 …";;@franceinter;#interactiv #le79inter;"826494508875538436";https://twitter.com/EmmanuelMacron/status/826494508875538436
EmmanuelMacron;2017-01-31 17:31;180;224;"C'est aussi pour ça que j'ai proposé de diviser par deux le nombre d'élèves par classe de CP et CE1. #AbbéPierre pic.twitter.com/0Ys8I0yFoC";;;#Abb;"826467953507987456";https://twitter.com/EmmanuelMacron/status/826467953507987456
EmmanuelMacron;2017-01-31 17:25;191;252;"Faire plus pour ceux qui ont moins : c’est pour ça que j’ai proposé de remettre dans ces quartiers de la prévention, de la médecine scolaire pic.twitter.com/jfx1l0pFH5";;;;"826466498386468864";https://twitter.com/EmmanuelMacron/status/826466498386468864
EmmanuelMacron;2017-01-31 17:20;104;114;"On a concentré dans certains quartiers le chômage de longue durée, alors qu'on n’a pas apporté de réponse de longue durée. #AbbéPierre";;;#Abb;"826465291374825472";https://twitter.com/EmmanuelMacron/status/826465291374825472
EmmanuelMacron;2017-01-31 17:14;192;322;"La République c’est un ensemble, c’est un tout, c’est un bloc. #AbbéPierre";;;#Abb;"826463684272734208";https://twitter.com/EmmanuelMacron/status/826463684272734208
EmmanuelMacron;2017-01-31 17:04;258;280;"Pour plus de justice dans l’attribution des logements sociaux, je créerai un mécanisme de cotation et développerai les bourses en ligne. pic.twitter.com/aljOpKwJDW";;;;"826461228025380865";https://twitter.com/EmmanuelMacron/status/826461228025380865
EmmanuelMacron;2017-01-31 16:55;238;283;"Nous sommes dans une lutte militaire face au terrorisme islamiste. Si on perd de vue nos principes, à quoi bon lutter ? #AbbéPierre pic.twitter.com/7UFhQufJ6K";;;#Abb;"826459017115529216";https://twitter.com/EmmanuelMacron/status/826459017115529216
EmmanuelMacron;2017-01-31 16:51;226;202;"Comment regarde-t-on en face la réalité des précaires aujourd’hui ? Comment on leur propose des solutions ? Aujourd’hui on ne le fait pas. pic.twitter.com/8yg6kwBrsr";;;;"826458005076058112";https://twitter.com/EmmanuelMacron/status/826458005076058112
