username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JLMelenchon;2017-01-06 18:06;57;57;"Retrouvez la #RDLS13 et participez à la FAQ sur #MélenchonFAQ http:// melenchon.fr/2017/01/06/rev ue-de-semaine-13-conditions-de-travail-auchan-mulliez-impot-syrie-trophee-100-000-abonnes/ …";;;#RDLS13 #M;"817417013618442244";https://twitter.com/JLMelenchon/status/817417013618442244
JLMelenchon;2017-01-06 13:48;176;210;"#RDLS13 en ligne ! - Conditions de travail, Auchan, Mulliez, Syrie, trophée des 100 000 abonnés, #MélenchonFAQ . https://www. youtube.com/watch?v=hIrpyK HXry8 … pic.twitter.com/z63XXhekKc";;;#RDLS13 #M;"817352054297526272";https://twitter.com/JLMelenchon/status/817352054297526272
JLMelenchon;2017-01-05 20:35;157;161;"Une France non alignée pour la paix - Retrouvez la vidéo des #VoeuxJLM - https:// youtu.be/u8Lta7F4SgY pic.twitter.com/8382FF9ro8";;;#VoeuxJLM;"817092247388880898";https://twitter.com/JLMelenchon/status/817092247388880898
JLMelenchon;2017-01-05 19:44;177;199;"Le camp de la France, ce doit être le camp de la paix, et rien d'autre. #VoeuxJLM https:// youtu.be/u8Lta7F4SgY";;;#VoeuxJLM;"817079397308108800";https://twitter.com/JLMelenchon/status/817079397308108800
JLMelenchon;2017-01-05 19:43;108;132;"Il faut renoncer à la mentalité de la guerre. #VoeuxJLM https:// youtu.be/u8Lta7F4SgY";;;#VoeuxJLM;"817079180273782786";https://twitter.com/JLMelenchon/status/817079180273782786
JLMelenchon;2017-01-05 19:42;87;102;"Le moment est venu de penser à une francophonie politique. #VoeuxJLM https:// youtu.be/u8Lta7F4SgY";;;#VoeuxJLM;"817078859275313152";https://twitter.com/JLMelenchon/status/817078859275313152
JLMelenchon;2017-01-05 19:41;143;171;"Aujourd'hui, on nous propose l'Europe de la Défense pour rassembler l'Europe. Mais cette Europe de la Défense, c'est la guerre. #VoeuxJLM";;;#VoeuxJLM;"817078654685614080";https://twitter.com/JLMelenchon/status/817078654685614080
JLMelenchon;2017-01-05 19:40;93;95;"L'année 2017 doit être mise à profit par la France pour en finir avec le campisme atlantiste. #VoeuxJLM https:// youtu.be/u8Lta7F4SgY";;;#VoeuxJLM;"817078379518316545";https://twitter.com/JLMelenchon/status/817078379518316545
JLMelenchon;2017-01-05 19:39;88;101;"Aujourd'hui, c'est la #Chine qui menace le plus les intérêts des #USA . On verra bientôt des retournement d'opinion... #VoeuxJLM";;;#Chine #USA #VoeuxJLM;"817078089591164928";https://twitter.com/JLMelenchon/status/817078089591164928
JLMelenchon;2017-01-05 19:37;113;103;"Monsieur #Fillon est le Premier ministre qui a inscrit la France dans le commandement intégré de l' #OTAN . #VoeuxJLM https:// youtu.be/u8Lta7F4SgY";;;#Fillon #OTAN #VoeuxJLM;"817077504859144192";https://twitter.com/JLMelenchon/status/817077504859144192
JLMelenchon;2017-01-05 19:36;166;182;"La sortie de l' #OTAN s'impose comme une des constantes de la politique internationale que nous voulons mener. #VoeuxJLM";;;#OTAN #VoeuxJLM;"817077275141226501";https://twitter.com/JLMelenchon/status/817077275141226501
JLMelenchon;2017-01-05 19:34;87;97;"Nous avions raison dès le début lorsque nous disions que la guerre de Syrie était une guerre de puissances #VoeuxJLM https:// youtu.be/u8Lta7F4SgY";;;#VoeuxJLM;"817076808709472256";https://twitter.com/JLMelenchon/status/817076808709472256
JLMelenchon;2017-01-05 19:32;110;109;"Il est plus facile de faire des élections en #Syrie que d'y transporter du matériel pour y faire la guerre #VoeuxJLM https:// youtu.be/u8Lta7F4SgY";;;#Syrie #VoeuxJLM;"817076425891123200";https://twitter.com/JLMelenchon/status/817076425891123200
