username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
manuelvalls;2017-01-06 13:49;103;183;"Merci chère Audrey pour ton soutien. Comme toi, je sais que nous devons faire encore plus en matière de culture: c'est ça l'esprit français! pic.twitter.com/6caWUn6ZkG";;;;"817352391506935809";https://twitter.com/manuelvalls/status/817352391506935809
manuelvalls;2017-01-05 23:17;143;195;"Je suis au cœur des progressistes. Je veux convaincre et faire gagner la gauche à la présidentielle. #LEmissionPolitique #Valls2017";;;#LEmissionPolitique #Valls2017;"817132905398943744";https://twitter.com/manuelvalls/status/817132905398943744
manuelvalls;2017-01-05 23:05;124;176;"Premier ministre, j'ai revalorisé le salaire des enseignants, policiers et fonctionnaires qui agissent pour les Français #LEmissionPolitique";;;#LEmissionPolitique;"817129859013021696";https://twitter.com/manuelvalls/status/817129859013021696
manuelvalls;2017-01-05 22:49;135;144;"L'urgence, c'est l'Europe. Elle peut se disloquer. Il faut une pause et une refondation de l'Union. #LEmissionPolitique #Valls2017";;;#LEmissionPolitique #Valls2017;"817125969920040960";https://twitter.com/manuelvalls/status/817125969920040960
manuelvalls;2017-01-05 22:35;130;168;"C'est la gauche qui incarne aujourd'hui l'autorité de l'Etat. C'est elle qui a augmenté les effectifs de policiers, de gendarmes. #Valls2017";;;#Valls2017;"817122383488290821";https://twitter.com/manuelvalls/status/817122383488290821
manuelvalls;2017-01-05 22:08;507;688;"Je ne veux pas que dans nos quartiers on impose aux femmes la manière de s'habiller, de se comporter. Je suis féministe! #LEmissionPolitique";;;#LEmissionPolitique;"817115550476333056";https://twitter.com/manuelvalls/status/817115550476333056
manuelvalls;2017-01-05 21:55;98;137;"Je propose de construire 40 000 nouveaux logements pour continuer d'aider nos jeunes à se loger. #LEmissionPolitique #Valls2017";;;#LEmissionPolitique #Valls2017;"817112310154194944";https://twitter.com/manuelvalls/status/817112310154194944
manuelvalls;2017-01-05 21:47;127;156;"Faire gagner la gauche, c'est pour moi faire gagner la France. #LEmissionPolitique #Valls2017";;;#LEmissionPolitique #Valls2017;"817110359836397568";https://twitter.com/manuelvalls/status/817110359836397568
manuelvalls;2017-01-05 21:44;159;206;"C'est l'honneur de la France de défendre cette vision universelle qu'est la laïcité. #LEmissionPolitique #Valls2017";;;#LEmissionPolitique #Valls2017;"817109603989209088";https://twitter.com/manuelvalls/status/817109603989209088
manuelvalls;2017-01-05 21:33;107;115;"J'assume la politique de baisse du coût du travail : le problème de notre économie, c'était la compétitivité. #LEmissionPolitique #Valls2017";;;#LEmissionPolitique #Valls2017;"817106706530451456";https://twitter.com/manuelvalls/status/817106706530451456
manuelvalls;2017-01-05 21:25;120;120;"L'espace géographique qui nous permet d'être puissants, c'est l'Europe. Elle a été trop naïve et doit changer #LEmissionPolitique #valls2017";;;#LEmissionPolitique #valls2017;"817104702919835648";https://twitter.com/manuelvalls/status/817104702919835648
manuelvalls;2017-01-05 21:10;155;184;"Je veux rassembler. Je veux défendre et porter un modèle républicain et un modèle social. #LEmissionPolitique #Valls2017";;;#LEmissionPolitique #Valls2017;"817100879811776512";https://twitter.com/manuelvalls/status/817100879811776512
manuelvalls;2017-01-05 20:58;61;83;"Retrouvez-moi dès maintenant sur @France2tv dans #LEmissionPolitique . #Valls2017 https:// twitter.com/avecMV/status/ 816983234600927232 …";;@France2tv;#LEmissionPolitique #Valls2017;"817097901587439616";https://twitter.com/manuelvalls/status/817097901587439616
manuelvalls;2017-01-04 19:59;47;83;"Retrouvez-moi dans quelques secondes au journal de 20h sur TF1 : http://www. tf1.fr/tf1/direct #JTTF1 #Valls2017 https:// twitter.com/avecmv/status/ 816666103976001536 …";;;#JTTF1 #Valls2017;"816720726346625024";https://twitter.com/manuelvalls/status/816720726346625024
manuelvalls;2017-01-03 11:58;167;177;"La santé, c’est de plus en plus les risques liés à l’environnement. Je ferai de la santé environnementale une grande cause. #Valls2017 pic.twitter.com/PAXoJU4QkC";;;#Valls2017;"816237393430937604";https://twitter.com/manuelvalls/status/816237393430937604
manuelvalls;2017-01-03 11:57;379;425;"Je me battrai pour rendre les soins accessibles à tous, sur tout le territoire, en supprimant le numerus clausus en médecine. #Valls2017";;;#Valls2017;"816237007647162368";https://twitter.com/manuelvalls/status/816237007647162368
manuelvalls;2017-01-03 11:50;126;105;"Je veux une société du travail. #Valls2017 pic.twitter.com/Qe6H92lYBq";;;#Valls2017;"816235242461818881";https://twitter.com/manuelvalls/status/816235242461818881
manuelvalls;2017-01-03 11:41;164;169;"Je veux tout mettre en œuvre pour diviser par deux l’écart de salaire entre hommes et femmes en cinq ans. #Valls2017 pic.twitter.com/yHWN3ZOOOu";;;#Valls2017;"816233106629869568";https://twitter.com/manuelvalls/status/816233106629869568
manuelvalls;2017-01-03 11:38;150;148;"La France devra démultiplier l’effort éducatif, pour se hisser parmi les premières nations éducatives du monde. #Valls2017 pic.twitter.com/srBS2SgKCd";;;#Valls2017;"816232289109741568";https://twitter.com/manuelvalls/status/816232289109741568
manuelvalls;2017-01-03 11:35;189;177;"Ma candidature sera celle d’une laïcité réaffirmée partout. Une Charte de la Laïcité sera adossée à la Constitution. #Valls2017 pic.twitter.com/AC9Pr80isg";;;#Valls2017;"816231558361346048";https://twitter.com/manuelvalls/status/816231558361346048
